,City ID,City Name,Country Code,Date,Latitude,Longitude,Humidity,Temperature,Wind Speed,Cloudiness
0,2075265,Busselton,AU,05/03/20,-33.65,115.33,79,65.8,17.9,77
1,935215,Saint-Philippe,RE,05/03/20,-21.36,55.77,78,71.08,5.82,20
2,5404476,Ukiah,US,05/03/20,39.15,-123.21,33,65.64,10.29,1
3,2025256,Chumikan,RU,05/03/20,54.72,135.31,88,33.24,16.75,17
4,1015776,Bredasdorp,ZA,05/03/20,-34.53,20.04,93,55.4,1.12,73
5,3831208,Qaanaaq,GL,05/03/20,77.48,-69.36,89,22.1,2.66,97
6,934322,Mahébourg,MU,05/03/20,-20.41,57.7,88,75.2,9.17,40
7,3871336,Santiago,CL,05/03/20,-33.46,-70.65,45,66.2,4.27,100
8,3035843,Auxerre,FR,05/03/20,47.8,3.57,93,53.92,4.29,70
9,3833367,Ushuaia,AR,05/03/20,-54.8,-68.3,64,39.2,5.82,40
10,3366880,Hermanus,ZA,05/03/20,-34.42,19.23,81,57.0,1.01,92
11,3874787,Punta Arenas,CL,05/03/20,-53.15,-70.92,93,41.86,6.93,100
12,4035715,Avarua,CK,05/03/20,-21.21,-159.78,78,78.8,8.05,27
13,986717,Kruisfontein,ZA,05/03/20,-34.0,24.73,89,57.29,10.42,100
14,2319133,Warri,NG,05/03/20,5.52,5.75,84,77.49,3.33,70
15,3628473,San Cristobal,VE,05/03/20,7.77,-72.22,59,89.6,10.29,40
16,2180815,Tuatapere,NZ,05/03/20,-46.13,167.68,88,47.75,14.38,100
17,6201424,Mataura,NZ,05/03/20,-46.19,168.86,87,49.62,5.55,93
18,3645532,Ciudad Bolivar,VE,05/03/20,8.12,-63.55,45,90.72,13.8,85
19,5557293,Sitka,US,05/03/20,57.05,-135.33,87,46.4,13.87,90
20,964432,Port Alfred,ZA,05/03/20,-33.59,26.89,98,59.0,4.0,100
21,2014078,Urusha,RU,05/03/20,54.05,122.9,55,36.36,5.79,100
22,5106841,Albany,US,05/03/20,42.6,-73.97,31,75.34,6.93,40
23,3653159,Píllaro,EC,05/03/20,-1.17,-78.53,82,55.4,18.34,75
24,4031574,Provideniya,RU,05/03/20,64.38,-173.3,71,37.54,1.99,0
25,2094342,Kavieng,PG,05/03/20,-2.57,150.8,82,83.55,14.32,69
26,1529376,Korla,CN,05/03/20,41.76,86.15,38,66.0,3.0,99
27,1856068,Nago,JP,05/03/20,26.59,127.98,94,75.85,6.93,90
28,2110227,Butaritari,KI,05/03/20,3.07,172.79,82,81.95,9.19,100
29,933995,Souillac,MU,05/03/20,-20.52,57.52,88,75.2,9.17,40
30,5563839,Fortuna,US,05/03/20,40.6,-124.16,58,59.27,13.87,1
31,2055868,Yantal',RU,05/03/20,56.85,105.25,77,40.91,1.92,91
32,3924752,Senador Guiomard,BR,05/03/20,-10.15,-67.74,100,80.6,2.66,40
33,4020109,Atuona,PF,05/03/20,-9.8,-139.03,73,81.88,17.4,15
34,3579925,St. George's,GD,05/03/20,12.06,-61.75,74,84.2,13.87,20
35,5880054,Barrow,US,05/03/20,71.29,-156.79,84,8.6,6.93,20
36,6148373,Sioux Lookout,CA,05/03/20,50.1,-91.92,80,33.8,4.7,75
37,2070998,Geraldton,AU,05/03/20,-28.77,114.6,88,64.4,11.41,75
38,2121385,Severo-Kuril'sk,RU,05/03/20,50.68,156.12,70,39.76,12.84,60
39,5122534,Jamestown,US,05/03/20,42.1,-79.24,34,63.66,14.99,1
40,1282256,Hithadhoo,MV,05/03/20,-0.6,73.08,76,84.15,25.61,98
41,4362001,Mayo,US,05/03/20,38.89,-76.51,57,73.92,6.93,1
42,2510725,Tacoronte,ES,05/03/20,28.48,-16.41,87,64.33,17.22,2
43,3424607,Tasiilaq,GL,05/03/20,65.61,-37.64,92,30.2,27.51,100
44,5972291,Havre-St-Pierre,CA,05/03/20,50.23,-63.6,52,46.4,6.17,8
45,5866583,Saint Paul Harbor,US,05/03/20,57.79,-152.41,30,55.4,14.99,1
46,2458624,Diré,ML,05/03/20,12.28,-10.97,18,90.61,1.45,0
47,4030556,Rikitea,PF,05/03/20,-23.12,-134.97,76,73.9,14.65,100
48,4004293,Ixtapa,MX,05/03/20,20.7,-105.2,65,81.18,14.99,75
49,3420768,Qasigiannguit,GL,05/03/20,68.82,-51.19,86,30.2,3.36,97
50,5861897,Fairbanks,US,05/03/20,64.84,-147.72,23,49.26,16.11,1
51,3609667,French Harbor,HN,05/03/20,16.35,-86.43,79,82.2,18.25,0
52,5855927,Hilo,US,05/03/20,19.73,-155.09,61,78.22,8.05,75
53,1735106,George Town,MY,05/03/20,5.41,100.34,94,78.4,4.7,20
54,3423146,Ilulissat,GL,05/03/20,69.22,-51.1,86,30.2,3.36,100
55,88319,Benghazi,LY,05/03/20,32.12,20.07,86,65.75,12.73,22
56,2163355,Hobart,AU,05/03/20,-42.88,147.33,87,53.02,6.93,20
57,6165406,Thompson,CA,05/03/20,55.74,-97.86,30,41.0,4.7,40
58,1264037,Malpe,IN,05/03/20,13.35,74.72,88,82.22,3.69,85
59,2191562,Dunedin,NZ,05/03/20,-45.87,170.5,64,56.35,6.08,100
60,1106677,Bambous Virieux,MU,05/03/20,-20.34,57.76,88,76.53,9.17,40
61,3163146,Andenes,NO,05/03/20,69.31,16.12,86,39.2,4.7,100
62,6111867,Port Hawkesbury,CA,05/03/20,45.62,-61.35,52,45.54,8.05,20
63,546105,Nikolskoye,RU,05/03/20,59.7,30.79,93,41.23,2.59,40
64,1006984,East London,ZA,05/03/20,-33.02,27.91,75,66.18,10.58,95
65,1712961,Gigmoto,PH,05/03/20,13.78,124.39,82,83.34,11.36,91
66,3144987,Beisfjord,NO,05/03/20,68.38,17.6,86,37.4,11.41,100
67,1649150,Bengkulu,ID,05/03/20,-3.8,102.27,88,75.43,4.9,92
68,3530599,Ciudad del Carmen,MX,05/03/20,18.63,-91.83,66,87.8,13.87,40
69,3698359,Chicama,PE,05/03/20,-7.84,-79.15,65,74.01,8.46,41
70,748893,Çorlu,TR,05/03/20,41.16,27.8,93,55.4,5.82,75
71,3466704,Castro,BR,05/03/20,-24.79,-50.01,61,55.26,5.06,1
72,2208248,Kaitangata,NZ,05/03/20,-46.28,169.85,69,55.99,1.99,92
73,3443061,Chui,UY,05/03/20,-33.7,-53.46,80,56.95,6.2,23
74,2264923,Peniche,PT,05/03/20,39.36,-9.38,88,65.57,5.99,41
75,2194098,Ahipara,NZ,05/03/20,-35.17,173.17,78,64.18,16.78,5
76,2071860,Esperance,AU,05/03/20,-33.87,121.9,38,60.8,18.34,82
77,5924351,Clyde River,CA,05/03/20,70.47,-68.59,72,14.0,9.17,1
78,2013279,Vostok,RU,05/03/20,46.49,135.88,79,36.23,1.28,100
79,1523741,Esik,KZ,05/03/20,43.36,77.45,76,55.4,6.71,75
80,1507390,Dikson,RU,05/03/20,73.51,80.55,96,10.2,9.69,90
81,2206939,Bluff,NZ,05/03/20,-46.6,168.33,88,49.06,20.09,98
82,7671223,Kloulklubed,PW,05/03/20,7.04,134.26,94,77.0,6.38,75
83,1651810,Airai,TL,05/03/20,-8.93,125.41,64,60.12,3.67,76
84,3661944,Tefé,BR,05/03/20,-3.35,-64.71,85,79.0,1.45,85
85,964420,Port Elizabeth,ZA,05/03/20,-33.92,25.57,93,59.0,2.24,75
86,3380290,Sinnamary,GF,05/03/20,5.38,-52.95,90,78.49,11.72,100
87,5969025,Haines Junction,CA,05/03/20,60.75,-137.51,70,40.3,2.8,100
88,2136150,Luganville,VU,05/03/20,-15.53,167.17,74,84.2,2.24,75
89,5364271,Laguna,US,05/03/20,38.42,-121.42,19,76.78,4.7,1
90,612230,Sagarejo,GE,05/03/20,41.73,45.33,72,59.0,9.17,40
91,5972762,Hay River,CA,05/03/20,60.82,-115.8,65,46.4,12.75,40
92,5866063,Kenai,US,05/03/20,60.55,-151.26,28,54.66,14.99,75
93,6111862,Port Hardy,CA,05/03/20,50.7,-127.42,62,51.8,13.87,90
94,6185377,Yellowknife,CA,05/03/20,62.46,-114.35,65,45.32,4.7,75
95,2126199,Cherskiy,RU,05/03/20,68.75,161.3,96,29.34,3.8,100
96,3355672,Lüderitz,NA,05/03/20,-26.65,15.16,66,64.94,17.02,0
97,3894426,Coyhaique,CL,05/03/20,-45.58,-72.07,87,44.6,6.93,75
98,5870133,Nome,US,05/03/20,64.5,-165.41,33,43.0,9.17,1
99,1487332,Verkhnyaya Inta,RU,05/03/20,65.98,60.31,96,24.96,3.36,100
100,2178753,Kirakira,SB,05/03/20,-10.45,161.92,72,85.51,5.32,80
